program                            json_short     ra    dec jsonID                      UT   CLT priority order t_exp[m] t_slew[m] sep_deg decflip
    twi     SheppardTwilightMar28evening.json  48.47  -9.08      0 2025-03-28T23:18:18.394 20:18        0    10    26.70      0.00    0.00       0
    yse                              353.json  63.37  -9.68     24 2025-03-28T23:45:00.394 20:45        0    20    16.00      0.54   14.71       0
 debass                       2025ezk_P1.json  75.46 -13.49     45 2025-03-29T00:01:32.762 21:01        0    30     3.00      0.46   12.43       0
    agn                               C3.json  52.65 -28.10      2 2025-03-29T00:05:00.118 21:05        0    40    11.00      0.94   25.76       0
    yse                            ECDFS.json  53.12 -28.10     28 2025-03-29T00:16:56.793 21:16        0    50     5.00      0.02    0.42       0
    yse                           2025zi.json  54.73 -26.28     21 2025-03-29T00:21:57.715 21:21        0    60     2.50      0.08    2.31       0
    yse                              253.json  61.28 -24.71     22 2025-03-29T00:24:32.791 21:24        0    70    16.00      0.22    6.13       0
    yse                             EDFS.json  59.10 -48.73     29 2025-03-29T00:40:46.269 21:40        0    80     5.00      3.88   24.08       1
    agn                            S-CVZ.json  90.00 -66.56      4 2025-03-29T00:49:39.255 21:49        0    90    11.00      0.87   23.83       0
    eta       etale.ec0915.ec0814.i.5min.json 159.65 -60.19     33 2025-03-29T01:01:31.688 22:01        0   100     4.33      1.10   30.14       0
    eta                    etale.i.15min.json 161.26 -59.68     35 2025-03-29T01:06:57.987 22:06        0   110    15.17      0.03    0.95       0
    eta          etale.ec0915.griz.11min.json 161.26 -59.68     34 2025-03-29T01:22:10.083 22:22        0   120    10.33      0.00    0.00       0
 debass                       2025efc_P1.json 143.49 -22.36     40 2025-03-29T01:32:30.083 22:32        0   130     2.67      4.44   39.38       1
    yse                              311.json 123.55 -17.04     23 2025-03-29T01:39:36.729 22:39        0   140    16.00      0.71   19.50       0
 debass                       2025evw_P1.json  97.20 -28.14     43 2025-03-29T01:56:19.622 22:56        0   150     3.00      0.98   26.67       0
    yse                              412.json 115.81  -2.65     26 2025-03-29T02:00:18.287 23:00        0   160    16.00      1.14   31.07       0
 debass                       2025cxg_P1.json 101.37  14.93     36 2025-03-29T02:17:26.642 23:17        0   170     3.00      0.83   22.66       0
    agn                           COSMOS.json 150.00   2.20      3 2025-03-29T02:21:16.488 23:21        0   180    33.00      1.82   49.61       0
 desirt                     DESIRT_165_i.json 163.06  -5.80     12 2025-03-29T02:56:05.632 23:56        0   190    16.50      0.56   15.30       0
 desirt                     DESIRT_165_g.json 163.06  -5.80     11 2025-03-29T03:13:09.292 00:13        0   200    12.00      0.00    0.00       0
   dosc    1_OMLApex.250328_i_15-dithpos.json 166.68 -24.98      5 2025-03-29T03:25:09.292 00:25        0   210    37.50      0.71   19.49       0
   dosc    2_OMLApex.250328_r_10-dithpos.json 166.68 -24.98      6 2025-03-29T04:03:22.175 01:03        0   220    25.00      0.00    0.00       0
   dosc     3_OMLApex.250328_g_5-dithpos.json 166.68 -24.98      7 2025-03-29T04:28:22.175 01:28        0   230    12.50      0.00    0.00       0
 debass                       2025ezb_P1.json 168.00   1.87     44 2025-03-29T04:40:52.175 01:40        0   240     1.50      0.99   26.88       0
 debass                       2025fex_P1.json 181.89  18.35     47 2025-03-29T04:43:21.314 01:43        0   250     3.00      0.78   21.38       0
 debass                       2025est_P1.json 185.32  13.40     42 2025-03-29T04:47:08.357 01:47        0   260     3.00      0.22    5.95       0
    yse                              525.json 186.99  11.09     27 2025-03-29T04:50:21.446 01:50        0   270    32.00      0.10    2.83       0
 debass                       2025dby_P1.json 195.39  10.21     38 2025-03-29T05:22:27.667 02:22        0   280     3.00      0.30    8.30       0
 debass                       2025dbu_P1.json 196.32   1.84     37 2025-03-29T05:25:45.923 02:25        0   290     3.00      0.31    8.41       0
    yse                          2025bco.json 198.93  -0.38     19 2025-03-29T05:29:04.430 02:29        0   300     1.75      0.13    3.43       0
 debass                       2025efa_P1.json 193.65 -27.61     39 2025-03-29T05:30:56.982 02:30        0   310     2.33      1.02   27.70       0
    yse                           2025cy.json 200.30 -43.60     20 2025-03-29T05:34:17.912 02:34        0   320     1.75      3.62   16.86       1
    yse                        EP250304A.json 208.39 -42.72     30 2025-03-29T05:39:40.000 02:39        0   330     5.33      0.22    5.96       0
   dosc 4_ShallowApex.250328_i_9-dithpos.json 213.20 -33.90      8 2025-03-29T05:45:13.119 02:45        0   340    22.50      0.35    9.59       0
   dosc 5_ShallowApex.250328_r_6-dithpos.json 213.20 -33.90      9 2025-03-29T06:08:04.209 03:08        0   350    15.00      0.00    0.00       0
   dosc 6_ShallowApex.250328_g_4-dithpos.json 213.20 -33.90     10 2025-03-29T06:23:04.209 03:23        0   360    10.00      0.00    0.00       0
 debass                       2025eqf_P1.json 219.50 -14.86     41 2025-03-29T06:33:04.209 03:33        0   370     3.00      3.73   19.88       1
 debass                       2025ftn_P1.json 209.42  -4.75     48 2025-03-29T06:39:47.939 03:39        0   380     1.50      0.52   14.17       0
 desirt                     DESIRT_200_g.json 211.08  -4.27     13 2025-03-29T06:41:49.105 03:41        0   390     9.33      0.06    1.72       0
